input	n	m	n'	m'	UB	Time	Minimum
1	5848	14647	0	0	204	0.263	204
2	462	620	0	0	47	0.016	47
3	53	89	0	0	10	0.012	10
4	270	1726	200	1360	92		
5	62	159	25	96	19	0.077	19
6	471	503	30	81	11	0.075	11
7	36	239	0	0	17	0.015	17
8	1846	2203	174	465	108	184.671	108
9	110	364	54	233	21	0.192	21
10	198	2742	151	2083	129	42.112	129
11	140	688	88	447	36	1.994	36
12	112	168	112	168	29	0.482	29
13	272	408	272	408	69	2.262	69
14	1782	8581	351	5070	64	5.101	64
15	118	179	0	0	18	0.018	18
16	224	420	220	418	70		
17	130	911	84	635	45	3.088	45
18	314	1425	41	312	32	0.621	32
19	1960	4621	0	0	256	0.08	256
20	74	92	0	0	8	0.016	8
21	1846	2203	179	473	108	249.385	108
22	11174	23409	208	617	285	147.429	285
23	335	1025	70	396	52	4.809	52
24	30	315	0	0	21	0.022	21
25	1454	1923	142	312	147	18.034	147
26	114	456	114	456	49	1.237	49
27	126	189	126	189	32	0.484	32
28	70	85	0	0	8	0.019	8
29	80	160	80	160	27	1.149	27
30	40	292	16	110	19	0.083	19
31	278	394	0	0	33	0.03	33
32	3701	6725	139	483	123	2.936	123
33	620	930	620	930	156	5.662	156
34	190	1068	143	954	58	8.191	58
35	210	1364	144	949	63	7.766	63
36	1741	3169	288	1716			
37	20588	91241	152	7422	191	18.012	191
38	10943	22607	126	372	272	1.21	272
39	2927	9829	560	7462	380		
40	10729	21999	200	689	284	331.392	284
41	17758	54196	0	0	2664	0.452	2664
42	67	95	0	0	11	0.013	11
43	266	1596	266	1596	121	553.963	121
44	120	469	57	272	24	0.455	24
45	14842	24571	0	0	4900	0.833	4900
46	73	152	41	120	18	0.441	18
47	84	166	80	166	28	269.895	28
48	256	1330	194	704	119		
49	443	590	23	44	48	0.159	48
50	49	84	0	0	7	0.025	7
51	50	175	50	175	27	52.71	27
52	1624	2213	200	446	176	722.328	176
53	1091	3421	280	2610	176		
54	229	774	187	660	104		
55	615	1171	604	1169	194		
56	1723	2394	196	428	196	58.43	196
57	1553	10725	0	0	19	0.476	19
58	13942	28342	2380	8942	1322		
59	192	379	32	235	18	0.306	18
60	62	186	62	186	25	0.452	25
61	94	376	94	376	50		
62	57	78	16	39	7	0.056	7
63	406	1155	401	1155	191		
64	268	1407	230	1150	127		
65	66	127	0	0	21	0.031	21
66	146	657	146	657	64	113.369	64
67	170	794	121	662	45	4.189	45
68	5094	7515	464	2255	198		
69	833	1038	78	257	35	1.229	35
70	197	243	0	0	19	0.021	19
71	1308	3126	1307	3125	193		
72	101	190	0	0	9	0.014	9
73	6474	12572	55	150	207	0.52	207
74	10670	22002	126	428	290	1.224	290
75	252	476	248	474	79		
76	87	227	26	81	32	0.125	32
77	113	161	5	10	16	0.028	16
78	3120	3684	410	830	173		
79	6133	12301	1472	7069	861		
80	5420	10445	43	130	179	0.218	179
81	240	1971	185	1648	87		
82	4962	7375	445	2100	195		
83	34	78	0	0	7	0.014	7
84	9000	13278	8556	12834			
85	966	953	7	13	51	0.034	51
86	112	425	85	403	32	3.644	32
87	331	1391	172	1012	70	3.376	70
88	2029	3719	312	2002			
89	250	1607	208	1319	83		
90	2746	3505	511	1159	207		
91	234	300	40	109	21	0.06	21
92	42	105	42	105	16	0.1	16
93	193	1650	49	230	128	0.178	128
94	161	608	161	608	85		
95	67	83	0	0	8	0.013	8
96	48	64	0	0	6	0.014	6
97	96	336	96	336	48	1.398	48
98	118	179	0	0	18	0.01	18
99	37	62	0	0	8	0.014	8
100	187	652	160	548	93	8.832	93
							76
